ParseTree,31
dm-core,31
memcache,31
rd_searchlogic,31
rvideo,31
createsend,31
moneta,31
gettext_rails,31
rvm,31
em-socksify,31
devise_rpx_connectable,31
rforce,31
preferences,31
jslint_on_rails,30
shopify_api,30
acts_as_state_machine,30
jruby-openssl,30
url_shortener,30
postgres,30
validates_existence,30
delayed_job_admin,30
formatize,30
rack-fiber_pool,30
symbolize,30
refinerycms-portfolio,30
brcpfcnpj,29
home_run,29
acts_as_ferret,29
pivotal-tracker,29
require_relative,29
strongbox,29
dm-types,29
choice,29
jackdempsey-acts_as_commentable,29
tanker,29
asset_hat,29
navigasmic,29
stemmer,29
hobo,29
auto_html,29
ruby-aaws,29
rails_autolink,29
rollout,28
ejs,28
autotest-fsevent,28
flying-sphinx,28
dm-validations,28
railroady,28
levenshtein,28
rake-remote_task,28
redhillonrails_core,28
localized_country_select,28
unidecode,28
paginator,28
paperclip-cloudfiles,28
tweetstream,28
data_fabric,28
ryanb-acts-as-list,28
GData,28
grape,28
test_notifier,28
durran-validatable,28
role_model,28
dbi,28
looksee,28
canable,28
dm-aggregates,27
rails_warden,27
feedtools,27
stalker,27
rails_sql_views,27
dm-do-adapter,27
mail_style,27
rexml-expansion-fix,27
embedly,27
rack-recaptcha,27
matthuhiggins-foreigner,26
ohm,26
faye,26
require,26
resque-lock,26
sanitize_email,26
i18n-active_record,26
crewait,26
rubaidh-google_analytics,26
mime,26
dm-timestamps,26
is_paranoid,26
sendgrid_toolkit,26
dm-migrations,26
solr-ruby,26
resque_spec,26
gmail_xoauth,26
db-charmer,26
whois,26
xml-magic,25
adwords4r,25
zippy,25
narray,25
slim-rails,25
rubigen,25
roadie,25
elif,25
resque-access_worker_from_job,25
thumbs_up,25
date-performance,25
net-dns,25
ruby-oembed,25
resque-lock-timeout,25
utility_scopes,25
google_currency,25
statistics2,25
email_veracity,25
unicode_utils,25
chardet,25
vlad-git,25
guard-cucumber,25
rspreedly,25
bouncy-castle-java,25
to_xls,24
patientslikeme-campaign_monitor,24
copycopter_client,24
phone,24
campaign_monitor_party,24
astrails-safe,24
paypal,24
gattica,24
mumboe-soap4r,24
flickr_fu,24
headless,24
autotest-standalone,24
no_peeping_toms,23
foursquare,23
lazy_high_charts,23
aws-sdk,23
sucker,23
fastimage,23
mixlib-log,23
rturk,23
autotest-notification,23
aegis,23
activerecord-jdbc-adapter,23
hooks,23
tamtam,23
haml-edge,23
ngmoco-cache-money,23
excelsior,23
apn_sender,23
libnotify,23
mongoid_session_store,23
htmldiff,23
querystring,23
dm-rails,23
dotiw,23
ar-octopus,23
dm-active_model,23
bb-ruby,22
userstamp,22
