GemName,Usage (GS),Usage (NR),Downloads,% Usage (GS),% Usage (NR),% Downloads
yard,38,177,207674,0.051771117,0.02338177,0.028918208
yard-rspec,2,7,2777,0.002724796,0.000924703,0.000386692
yard-cucumber,2,3,1178,0.002724796,0.000396301,0.000164034
rcov,95,539,506075,0.129427793,0.071202114,0.070469978
machinist,54,227,146810,0.073569482,0.02998679,0.020443012
guard,92,157,128065,0.125340599,0.020739762,0.017832807
culerity,5,729,484709,0.006811989,0.096301189,0.067494803
mongo_mapper,28,267,130658,0.038147139,0.035270806,0.018193877
hunt,1,4,968,0.001362398,0.000528402,0.000134792
rails3-generators,56,295,136069,0.076294278,0.038969617,0.018947348
rdoc,37,2036,1620351,0.050408719,0.268956407,0.225630783
acl9,6,133,34116,0.008174387,0.017569353,0.004750588
ruby-geonames,1,6,0,0.001362398,0.000792602,0
graticule,8,98,33516,0.010899183,0.012945839,0.004667039
memcached,16,305,125204,0.021798365,0.040290621,0.017434418
ttfunk,4,198,59108,0.005449591,0.026155878,0.008230676
tzinfo,23,6527,3954688,0.03133515,0.862219287,0.550682754
barista,23,179,44972,0.03133515,0.023645971,0.006262265
routing-filter,15,202,66368,0.020435967,0.02668428,0.009241617
rails_sql_views,6,27,8004,0.008174387,0.003566711,0.001114542
symbolize,2,30,7901,0.002724796,0.003963012,0.001100199
mixpanel,4,54,6769,0.005449591,0.007133421,0.00094257
rpeg-markdown,1,1,3768,0.001362398,0.0001321,0.000524687
minitest,15,16,174010,0.020435967,0.002113606,0.02423056
rack-cache,37,931,638915,0.050408719,0.122985469,0.088967694
airbrake,83,150,21886,0.113079019,0.019815059,0.003047584
git,5,110,197627,0.006811989,0.014531044,0.027519182
nifty-generators,59,284,170467,0.080381471,0.037516513,0.023737204
powder,8,7,14483,0.010899183,0.000924703,0.00201673
is_paranoid,1,26,5385,0.001362398,0.00343461,0.000749851
pdfkit,40,295,80851,0.054495913,0.038969617,0.011258347
resque-loner,6,35,5169,0.008174387,0.004623514,0.000719773
sendgrid,11,154,27679,0.014986376,0.020343461,0.003854248
spreadsheet,44,500,201720,0.059945504,0.066050198,0.028089125
dbd-odbc,2,19,29643,0.002724796,0.002509908,0.004127731
ruby-odbc,1,22,26597,0.001362398,0.002906209,0.003703581
autotest,73,309,262943,0.099455041,0.040819022,0.036614311
ansi,2,81,240268,0.002724796,0.010700132,0.03345686
awesome_nested_set,19,230,55538,0.025885559,0.030383091,0.00773356
hassle,3,174,6214,0.004087193,0.022985469,0.000865288
compass-960-plugin,10,96,30424,0.013623978,0.012681638,0.004236484
spork-testunit,10,12,8068,0.013623978,0.001585205,0.001123454
acts_as_audited,26,135,29361,0.035422343,0.017833554,0.004088463
holidays,6,32,18174,0.008174387,0.004227213,0.002530695
attribute_normalizer,13,79,15790,0.017711172,0.010435931,0.002198727
rails-geocoder,2,36,12750,0.002724796,0.004755614,0.001775413
yui-compressor,37,1090,243258,0.050408719,0.143989432,0.033873212
guard-rails,17,1,3444,0.023160763,0.0001321,0.00047957
guard-coffeescript,11,15,11266,0.014986376,0.001981506,0.001568769
metrical,11,20,11898,0.014986376,0.002642008,0.001656774
jasminerice,6,2,1522,0.008174387,0.000264201,0.000211936
guard-rails-assets,3,3,1631,0.004087193,0.000396301,0.000227114
growl_notify,21,6,5120,0.028610354,0.000792602,0.00071295
octokit,4,6,4867,0.005449591,0.000792602,0.00067772
texticle,6,71,10436,0.008174387,0.009379128,0.001453193
cocoon,7,22,5564,0.009536785,0.002906209,0.000774776
test_notifier,12,28,19591,0.016348774,0.003698811,0.002728009
app,3,11,5193,0.004087193,0.001453104,0.000723115
typhoeus,22,295,113237,0.029972752,0.038969617,0.015768036
spree,3,37,68000,0.004087193,0.004887715,0.00946887
rubyzip,47,1682,1013478,0.064032698,0.222192867,0.141124877
rd_find_by_param,1,12,17612,0.001362398,0.001585205,0.002452437
seedbed,2,1,1578,0.002724796,0.0001321,0.000219733
lockfile,3,127,346065,0.004087193,0.01677675,0.048188891
